No.	DEG ID	Gene Name	Function	Organism
1	DEG10020001	dnaA	chromosomal replication initiator protein	Staphylococcus aureus N315
2	DEG10020002	recF	Recombinational DNA repair ATPase (RecF pathway)	Staphylococcus aureus N315
3	DEG10020003	gyrB	DNA gyrase subunit B	Staphylococcus aureus N315
4	DEG10020004	gyrA	DNA gyrase subunit A	Staphylococcus aureus N315
5	DEG10020005	serS	seryl-tRNA synthetase	Staphylococcus aureus N315
6	DEG10020006	rplI	50S ribosomal protein L9	Staphylococcus aureus N315
7	DEG10020007	dnaC	replicative DNA helicase	Staphylococcus aureus N315
8	DEG10020008	SA0021	Conserved hypothetical protein	Staphylococcus aureus N315
9	DEG10020009	SA0085	Conserved hypothetical protein	Staphylococcus aureus N315
10	DEG10020010	drm	Phosphopentomutase	Staphylococcus aureus N315
11	DEG10020011	SA0179	Ornithine aminotransferase	Staphylococcus aureus N315
12	DEG10020012	SA0181	Hypothetical protein	Staphylococcus aureus N315
13	DEG10020013	oppF	oligopeptide transport ATP-binding protein	Staphylococcus aureus N315
14	DEG10020014	msmX	Multiple sugar-binding transport ATP-binding protein	Staphylococcus aureus N315
15	DEG10020015	SA0230	Conserved hypothetical protein	Staphylococcus aureus N315
16	DEG10020016	SA0272	similar to transmembrane protein Tmp7	Staphylococcus aureus N315
17	DEG10020017	SA0348	Hypothetical protein	Staphylococcus aureus N315
18	DEG10020018	SA0351	hypothetical protein, similar to GTP-binding protein	Staphylococcus aureus N315
19	DEG10020019	rpsF	30S ribosomal protein S6	Staphylococcus aureus N315
20	DEG10020020	ssb	Single-strand DNA-binding protein	Staphylococcus aureus N315
21	DEG10020021	rpsR	30S ribosomal protein S18	Staphylococcus aureus N315
22	DEG10020022	pubX/pbuX	Xanthine permease	Staphylococcus aureus N315
23	DEG10020023	guaB	Inositol-monophosphate dehydrogenase	Staphylococcus aureus N315
24	DEG10020024	guaA	GMP synthase	Staphylococcus aureus N315
25	DEG10020025	SA0422	Hypothetical protein	Staphylococcus aureus N315
26	DEG10020026	dnaX	DNA polymerase III gamma and tau subunits	Staphylococcus aureus N315
27	DEG10020027	SA0437	conserved hypothetical protein	Staphylococcus aureus N315
28	DEG10020028	tmk	Thymidylate kinase homolog	Staphylococcus aureus N315
29	DEG10020029	SA0446	Conserved hypothetical protein	Staphylococcus aureus N315
30	DEG10020030	SA0447	conserved hypothetical protein	Staphylococcus aureus N315
31	DEG10020031	metS	methionyl-tRNA synthetase	Staphylococcus aureus N315
32	DEG10020032	SA0449	conserved hypothetical protein	Staphylococcus aureus N315
33	DEG10020033	gcaD	UDP-N-acetylglucosamine pyrophosphorylase	Staphylococcus aureus N315
34	DEG10020034	prs	Ribose-phosphate pyrophosphokinase	Staphylococcus aureus N315
35	DEG10020035	pth	Peptidyl-tRNA hydrolase	Staphylococcus aureus N315
36	DEG10020036	SA0464	conserved hypothetical protein	Staphylococcus aureus N315
37	DEG10020037	SA0467	conserved hypothetical protein	Staphylococcus aureus N315
38	DEG10020038	ftsH	cell-division protein	Staphylococcus aureus N315
39	DEG10020039	lysS	lysyl-tRNA synthetase	Staphylococcus aureus N315
40	DEG10020040	clpC	endopeptidase	Staphylococcus aureus N315
41	DEG10020041	gltX	Glutamyl-tRNA synthetase (glutamate--tRNA ligase)	Staphylococcus aureus N315
42	DEG10020042	cysS	cysteinyl-tRNA synthetase	Staphylococcus aureus N315
43	DEG10020043	rplK	50S ribosomal protein L11	Staphylococcus aureus N315
44	DEG10020044	rplA	50S ribosomal protein L1	Staphylococcus aureus N315
45	DEG10020045	rplJ	50S ribosomal protein L10	Staphylococcus aureus N315
46	DEG10020046	rplL	50S ribosomal protein L7/L12	Staphylococcus aureus N315
47	DEG10020047	rpoB	DNA-directed RNA polymerase subunit beta	Staphylococcus aureus N315
48	DEG10020048	rpoC	RNA polymerase beta-prime chain	Staphylococcus aureus N315
